Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann
,,,,,,,,,,,,,Avg
2020,"9,527.70","9,566.60","9,431.60","9,039.70","9,063.40",,,,,,,,
2019,"9,515.50","9,542.00","9,529.10","9,449.40","9,457.20","9,539.00","9,597.00","9,539.80","9,504.80","9,543.20","9,487.20","9,468.30","9,514.40"
2018,"9,442.30","9,530.70","9,526.80","9,483.00","9,494.40","9,606.10","9,652.80","9,520.90","9,485.80","9,533.70","9,493.50","9,492.40","9,521.90"
2017,"9,484.50","9,531.00","9,564.20","9,544.50","9,536.50","9,630.60","9,688.40","9,606.60","9,584.90","9,521.40","9,471.20","9,425.10","9,549.10"
2016,"9,548.40","9,584.60","9,602.70","9,532.70","9,519.60","9,604.90","9,653.30","9,593.00","9,537.80","9,535.10","9,472.00","9,439.10","9,551.90"
2015,"9,521.80","9,523.30","9,526.30","9,540.30","9,605.00","9,645.70","9,666.60","9,594.00","9,492.60","9,542.10","9,518.80","9,528.50","9,558.80"
2014,"9,508.70","9,536.60","9,554.50","9,458.00","9,514.30","9,604.50","9,647.20","9,566.80","9,475.50","9,539.20","9,494.50","9,453.30","9,529.40"
2013,"9,646.60","9,622.20","9,589.70","9,604.10","9,678.40","9,787.90","9,824.40","9,742.70","9,664.30","9,616.20","9,592.80","9,540.80","9,659.20"
2012,"9,515.50","9,570.40","9,566.70","9,525.60","9,612.70","9,706.10","9,724.30","9,640.80","9,607.60","9,677.00","9,592.60","9,607.50","9,612.20"
2011,"9,482.80","9,482.10","9,482.90","9,466.00","9,480.40","9,542.70","9,582.90","9,571.30","9,515.40","9,546.80","9,527.20","9,527.70","9,517.40"
2010,"9,546.30","9,565.20","9,574.30","9,648.90","9,616.70","9,675.50","9,721.40","9,678.10","9,575.20","9,547.90","9,518.60","9,476.20","9,595.40"
2009,"9,648.10","9,664.70","9,632.20","9,636.50","9,635.50","9,758.70","9,822.00","9,739.30","9,587.60","9,588.90","9,565.90","9,490.40","9,647.50"
2008,"9,577.90","9,556.30","9,572.90","9,579.40","9,608.30","9,734.50","9,813.20","9,760.40","9,675.80","9,727.80","9,696.90","9,673.90","9,664.80"
2007,"9,486.40","9,475.90","9,471.80","9,418.80","9,445.00","9,594.30","9,668.50","9,558.60","9,506.10","9,525.20","9,563.70","9,550.40","9,522.10"
2006,"9,441.60","9,475.00","9,471.20","9,457.60","9,470.20","9,590.30","9,649.30","9,577.50","9,447.60","9,503.60","9,506.10","9,507.80","9,508.10"
