Year,Period,employment,unemployment,unemployment rate,single_home_avg_prices,is_covid
2010,Jan,15997913,2216607,12.2,291655.4313,0
2010,Feb,16028580,2233503,12.2,291055.666,0
2010,Mar,16061366,2242732,12.3,291133.4774,0
2010,Apr,16090440,2245213,12.2,291726.8098,0
2010,May,16112833,2240855,12.2,292800.8509,0
2010,Jun,16124135,2234390,12.2,291719.3378,0
2010,Jul,16123990,2233003,12.2,289760.8045,0
2010,Aug,16117692,2238793,12.2,288194.8812,0
2010,Sep,16110216,2247908,12.2,286661.561,0
2010,Oct,16108305,2253816,12.3,285206.4497,0
2010,Nov,16114079,2251133,12.3,283035.3087,0
2010,Dec,16125892,2238601,12.2,281011.301,0
2011,Jan,16142515,2220499,12.1,278712.675,0
2011,Feb,16160153,2201859,12,276927.3535,0
2011,Mar,16174823,2185569,11.9,274985.7951,0
2011,Apr,16185015,2175282,11.8,272836.5569,0
2011,May,16194332,2173110,11.8,270430.4207,0
2011,Jun,16209240,2174365,11.8,268743.9162,0
2011,Jul,16235500,2172386,11.8,267455.6925,0
2011,Aug,16272656,2163433,11.7,266316.462,0
2011,Sep,16316061,2145866,11.6,264874.2693,0
2011,Oct,16359672,2121437,11.5,263530.8247,0
2011,Nov,16396794,2092653,11.3,262913.3901,0
2011,Dec,16423914,2062739,11.2,262072.6506,0
2012,Jan,16442867,2035377,11,260914.8315,0
2012,Feb,16459497,2013197,10.9,260580.8969,0
2012,Mar,16476663,1997725,10.8,260849.0293,0
2012,Apr,16496074,1984744,10.7,261312.7075,0
2012,May,16522575,1969199,10.6,262378.5475,0
2012,Jun,16558495,1947811,10.5,264992.0935,0
2012,Jul,16602505,1919526,10.4,267191.7666,0
2012,Aug,16651465,1888631,10.2,269328.7932,0
2012,Sep,16702042,1861220,10,271887.5459,0
2012,Oct,16748317,1838081,9.9,275199.2117,0
2012,Nov,16786723,1818423,9.8,279006.688,0
2012,Dec,16817255,1799481,9.7,282975.734,0
