Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann
,,,,,,,,,,,,,Avg
2020,4.10%,3.90%,4.20%,15.10%,14.20%,,,,,,,,
2019,4.80%,4.50%,4.20%,3.60%,3.60%,3.80%,4.20%,4.10%,3.60%,3.70%,3.60%,3.70%,4.00%
2018,5.10%,5.10%,4.60%,4.10%,3.70%,4.10%,4.20%,4.10%,3.70%,3.70%,3.60%,4.00%,4.10%
2017,5.30%,5.30%,4.70%,4.40%,4.40%,4.60%,4.90%,5.00%,4.60%,4.40%,4.40%,4.40%,4.70%
2016,5.30%,5.30%,5.10%,4.60%,4.30%,4.70%,5.10%,5.10%,4.90%,4.80%,4.50%,4.60%,4.90%
2015,6.40%,6.20%,5.60%,5.20%,5.30%,5.20%,5.40%,5.00%,4.70%,4.70%,4.70%,4.80%,5.30%
2014,7.40%,7.60%,7.10%,6.00%,6.20%,6.20%,6.50%,6.30%,5.80%,5.60%,5.70%,5.50%,6.30%
2013,9.10%,8.70%,8.00%,7.40%,7.50%,7.90%,7.90%,7.70%,7.40%,7.40%,7.00%,6.70%,7.70%
2012,9.20%,9.40%,8.90%,8.20%,8.40%,8.70%,8.90%,8.50%,8.00%,8.00%,7.80%,8.10%,8.50%
2011,9.00%,8.80%,8.20%,7.80%,7.80%,8.20%,8.40%,8.20%,8.30%,8.20%,8.20%,8.40%,8.30%
2010,9.60%,9.50%,9.10%,8.50%,8.20%,8.40%,8.60%,8.40%,8.20%,8.20%,8.40%,8.20%,8.60%
2009,7.80%,8.30%,8.20%,7.70%,8.00%,8.40%,8.50%,8.50%,8.60%,8.70%,8.50%,8.80%,8.30%
2008,5.50%,5.40%,5.20%,4.60%,4.90%,5.10%,5.40%,5.50%,5.50%,5.60%,5.90%,6.50%,5.40%
2007,5.00%,4.90%,4.40%,4.20%,4.20%,4.50%,4.90%,4.50%,4.50%,4.40%,4.40%,4.80%,4.60%
2006,5.10%,5.30%,5.00%,4.60%,4.50%,4.50%,4.80%,4.40%,4.20%,3.90%,4.10%,4.00%,4.50%
